source,target,weight
make,slice,0.5954210758209229
make,like,0.5949453115463257
say,such,0.8723279237747192
say,like,0.8681522011756897
say,like,0.8681522011756897
say,etc,0.8634514808654785
say,to,0.8590990900993347
say,specifically,0.8566524982452393
say,latter,0.8484012484550476
say,comprise,0.8469974398612976
say,or,0.843069314956665
say,uh,0.8398419618606567
say,en,0.8342511653900146
say,till,0.8321275115013123
say,necessarily,0.830448567867279
say,denote,0.8280234336853027
say,tale,0.8268485069274902
say,et,0.8221973180770874
say,which,0.8199475407600403
say,either,0.8187309503555298
say,die,0.818396806716919
say,pour,0.817031741142273
learn,learner,0.8805966377258301
learn,lesson,0.8465862274169922
learn,educate,0.8055169582366943
learn,teach,0.8033809065818787
learn,educational,0.7806820869445801
learn,education,0.7617529034614563
learn,instruction,0.7387551069259644
learn,course,0.7285797595977783
learn,knowledge,0.7267388701438904
learn,discover,0.7230256795883179
learn,lecture,0.6904881000518799
learn,explore,0.6861363649368286
learn,explore,0.6861363649368286
learn,educator,0.6845526695251465
learn,inform,0.6845155358314514
learn,develop,0.6743881106376648
learn,realise,0.6691552996635437
learn,tell,0.6675760746002197
learn,instructor,0.6626549959182739
learn,experience,0.6604852676391602
draw,decorate,0.7327197790145874
draw,depict,0.719374418258667
draw,art,0.7156906127929688
draw,paint,0.7035934329032898
draw,paint,0.703593373298645
draw,illustration,0.7034463882446289
draw,creative,0.6863669157028198
draw,painter,0.6803209185600281
draw,artist,0.6502742767333984
draw,portrait,0.649217426776886
draw,dance,0.6350193023681641
draw,dance,0.6350193023681641
draw,illustrate,0.6346027255058289
draw,design,0.6334816217422485
draw,design,0.6334816217422485
draw,shape,0.632396936416626
draw,shape,0.632396936416626
draw,animation,0.6192401647567749
draw,slice,0.6146664619445801
draw,scene,0.6080132722854614
eat,food,0.8524017333984375
eat,meal,0.8070082664489746
eat,hungry,0.7791258096694946
eat,feed,0.7788150310516357
eat,feed,0.7788148522377014
eat,diet,0.7774538993835449
eat,lunch,0.7661763429641724
eat,snack,0.7497245669364929
eat,delicious,0.6819069385528564
eat,consume,0.6797063946723938
eat,taste,0.6796174049377441
eat,taste,0.6796174049377441
eat,dinner,0.6747922897338867
eat,chew,0.6513413190841675
eat,breakfast,0.6451214551925659
eat,biscuit,0.6270350217819214
eat,swallow,0.6189247965812683
eat,dessert,0.6081676483154297
eat,plate,0.5986754894256592
eat,dish,0.5983449220657349
throw,toss,0.7590621709823608
throw,pitch,0.7184057235717773
throw,pitch,0.7184056639671326
throw,play,0.666638970375061
throw,catch,0.6498726010322571
throw,tackle,0.6457114219665527
throw,pitcher,0.6320517659187317
throw,ball,0.6310343742370605
throw,game,0.6259010434150696
throw,game,0.6259010434150696
throw,fly,0.6229836940765381
throw,bowl,0.5893847346305847
throw,player,0.589188814163208
throw,serve,0.5884822010993958
throw,fixture,0.585873007774353
throw,trick,0.5842046737670898
throw,swing,0.5789873003959656
throw,sport,0.5764539241790771
throw,shoot,0.5692747831344604
throw,baseball,0.5653687119483948
choose,choice,0.9730870723724365
choose,decide,0.9027529954910278
choose,preference,0.8216172456741333
choose,selection,0.8213716745376587
choose,preferred,0.8142544031143188
choose,select,0.8141253590583801
choose,select,0.8141252994537354
choose,decision,0.8005914688110352
choose,prefer,0.7913988828659058
choose,option,0.7898913621902466
choose,pick,0.7866911888122559
choose,consider,0.773665189743042
choose,consideration,0.7534247636795044
choose,say,0.7349179983139038
choose,distinction,0.7342329621315002
choose,opt,0.7105087041854858
choose,whether,0.708572506904602
choose,which,0.7063337564468384
choose,insist,0.6979333162307739
choose,rather,0.6853018999099731
come,arrive,0.8363083004951477
come,merge,0.8016663789749146
come,onto,0.7858043909072876
come,till,0.7839807868003845
come,along,0.7778414487838745
come,forth,0.7642006874084473
come,well,0.7586250901222229
come,ensue,0.7539427280426025
come,so,0.7533714771270752
come,ve,0.7529993057250977
come,latter,0.7521510124206543
come,dan,0.7489858865737915
come,i,0.7468901872634888
come,ben,0.7468551993370056
come,accompany,0.7462531328201294
come,kinda,0.7451342344284058
come,go,0.7423025369644165
come,from,0.7415039539337158
come,ali,0.7397565841674805
come,sin,0.7379854917526245
work,job,0.8429455757141113
work,endeavor,0.7810784578323364
work,worker,0.7714287042617798
work,task,0.7702137231826782
work,labor,0.7675034999847412
work,employment,0.7548155784606934
work,employ,0.7510310411453247
work,occupation,0.7469048500061035
work,effort,0.7448698282241821
work,labour,0.7309583425521851
work,undertake,0.7164051532745361
work,construction,0.700736939907074
work,hard,0.6898201704025269
work,hard,0.6898201704025269
work,hire,0.6690115928649902
work,achieve,0.6668543815612793
work,accomplish,0.6665458083152771
work,build,0.6632135510444641
work,strive,0.6514427661895752
work,operation,0.6495559215545654
look,see,0.858833909034729
look,examine,0.8377445936203003
look,seek,0.807324230670929
look,observe,0.8067684769630432
look,inspect,0.7932262420654297
look,regard,0.7917927503585815
look,seem,0.7672566175460815
look,sight,0.7653908133506775
look,sight,0.7653907537460327
look,consider,0.759990930557251
look,investigate,0.7506539225578308
look,observation,0.7452945113182068
look,appearance,0.7295873165130615
look,insight,0.7277168035507202
look,answer,0.7269302606582642
look,answer,0.7269301414489746
look,earth,0.7257146835327148
look,corp,0.7243455648422241
look,se,0.7216075658798218
look,attention,0.7172806262969971
think,thought,0.9229084253311157
think,consider,0.8334925174713135
think,contemplate,0.825195848941803
think,guess,0.797713041305542
think,say,0.7778162956237793
think,suppose,0.7740846872329712
think,opinion,0.7666277885437012
think,imagine,0.7513564825057983
think,notion,0.7490729093551636
think,mind,0.7483981847763062
think,mind,0.7483981847763062
think,decide,0.7408199310302734
think,assume,0.7389659881591797
think,though,0.7359784841537476
think,latter,0.7356283664703369
think,insight,0.7352442741394043
think,wonder,0.7349889278411865
think,wonder,0.7349889278411865
think,seem,0.7304917573928833
think,whether,0.7257304191589355
prove,proof,0.9213818311691284
prove,verify,0.8359733819961548
prove,evidence,0.8219146132469177
prove,true,0.7512052059173584
prove,demonstrate,0.7470012307167053
prove,valid,0.7385910749435425
prove,apparent,0.7363534569740295
prove,confirm,0.7349013090133667
prove,convince,0.7265071868896484
prove,convince,0.7265070676803589
prove,persuade,0.7167518138885498
prove,indication,0.7104285955429077
prove,indeed,0.7049660086631775
prove,clearly,0.701214075088501
prove,truth,0.7007104158401489
prove,fact,0.6993799805641174
prove,realise,0.698287844657898
prove,realize,0.6904748678207397
prove,check,0.6896436214447021
prove,check,0.6896436214447021
fly,toss,0.7595818042755127
fly,air,0.7226524353027344
fly,air,0.7226524353027344
fly,divert,0.6952294707298279
fly,spawn,0.6668825149536133
fly,sky,0.6630476713180542
fly,flight,0.6573061943054199
fly,drop,0.6553286910057068
fly,plane,0.6400412917137146
fly,wing,0.626075804233551
fly,float,0.6239795684814453
fly,float,0.6239794492721558
fly,throw,0.6229836940765381
fly,swing,0.6111786365509033
fly,bounce,0.6110132336616516
fly,balloon,0.6106715202331543
fly,wicket,0.6104942560195923
fly,trick,0.6066550016403198
fly,play,0.6034001111984253
fly,hang,0.5897473096847534
blow,blast,0.7702138423919678
blow,blast,0.7702138423919678
blow,explode,0.7561193704605103
