Token,Frequency,POS,Observed_Verb_Forms
usar,1633,VERB,"usar:667, usa:351, usando:170, usan:135, usado:62, usó:53, usaba:40, use:39, usas:18, uso:17, usaron:15, usada:12, usaban:12, usaré:9, usaría:5, usará:4, uses:4, usados:4, usá:4, usen:4, usadas:3, usara:3, usaran:1, usemos:1"
aún,1625,ADV,
buena,1613,ADJ,
intentar,1606,VERB,"intentó:287, intentando:272, intenta:227, intentar:215, intenté:151, intentado:114, intentaré:57, intentaba:54, intentaron:36, intentamos:33, intentes:32, intentan:26, intente:23, intento:17, intentaría:16, intentara:13, intentará:12, intenten:8, intentaremos:6, intentarán:4, intentaban:3"
terminar,1596,VERB,"terminar:480, terminado:342, terminó:317, termina:152, termine:59, terminará:48, terminaron:43, terminan:37, terminaré:22, terminando:18, terminemos:13, terminamos:12, terminarán:11, terminaba:11, terminara:8, terminé:7, terminaría:6, termino:4, terminas:3, terminéis:1, terminaran:1, terminaban:1"
mirar,1594,VERB,"mira:442, mirando:294, miró:283, mirar:220, miraba:84, miro:50, miraron:43, miren:39, miran:30, mirado:29, miras:19, mire:18, miraban:17, miramos:16, mirara:3, mirará:3, miraré:2, mirada:1, miraría:1"
amigo,1594,NOUN,
escuela,1588,NOUN,
tomás,1578,NOUN,tomás:7
persona,1559,NOUN,
alguna,1556,DET,
buscar,1555,VERB,"buscando:603, buscar:280, busca:180, busco:92, buscó:75, buscan:56, buscaba:52, buscado:51, buscamos:48, busqué:37, buscaron:24, busque:12, buscaban:11, buscas:8, buscaré:8, buscaría:5, buscará:3, busquen:3, buscarían:2, buscada:2, buscá:1, buscase:1, buscarán:1"
casi,1549,ADV,
lugar,1539,NOUN,
niño,1538,NOUN,niño:2
allí,1501,ADV,
nombre,1491,NOUN,
puerta,1483,NOUN,
momento,1464,NOUN,
ganar,1456,VERB,"ganar:442, ganó:250, gana:193, ganado:145, gane:63, ganando:57, ganará:45, ganaron:42, gané:42, ganamos:35, ganan:25, ganara:21, ganaría:17, gano:13, ganaba:12, ganaré:12, ganaremos:10, ganase:9, ganen:8, ganas:7, ganemos:3, ganadas:1, ganarán:1, ganaban:1, ganáis:1, ganada:1"
donde,1452,PRON,
difícil,1449,ADJ,
bueno,1440,ADJ,
habitación,1434,NOUN,
pronto,1431,ADV,
cambiar,1425,VERB,"cambiar:538, cambiado:214, cambió:190, cambia:157, cambian:58, cambiando:51, cambie:36, cambiará:36, cambiaron:27, cambiaré:20, cambiaría:18, cambien:10, cambiaba:9, cambiaste:9, cambiamos:9, cambiarán:7, cambiara:7, cambio:6, cambiá:5, cambiaremos:3, cambiados:3, cambiemos:2, cambiaban:2, cambiase:2, cambiada:2, cambias:1, cambiaran:1, cambiadas:1, cambiéis:1"
caer,1419,VERB,"cayó:491, caer:223, cae:189, caído:114, caen:67, cayeron:60, cayendo:56, caí:55, caía:21, caiga:21, caerá:19, caigo:15, cayera:15, cago:14, caían:11, caigan:9, caerán:8, cavan:6, caga:6, caería:4, caeré:3, cagan:3, caido:2, caemos:2, cava:1, cavamos:1, caigamos:1, cayese:1, cayesen:1"
cuánto,1416,PRON,cuánto:1
hermano,1411,NOUN,
beber,1402,VERB,"beber:517, bebe:276, bebió:135, bebiendo:120, bebido:92, bebí:56, beben:55, bebo:29, bebía:29, bebieron:22, bebes:19, bebemos:19, beba:7, bebimos:6, bebían:5, beberá:4, bebiera:2, bebería:2, bebiese:2, beberán:2, beberás:1, bebas:1"
escuchar,1378,VERB,"escuchar:442, escucha:186, escuchando:177, escuchó:131, escuchado:122, escucho:95, escuchaba:35, escuchamos:33, escuchan:33, escuchen:28, escucharon:27, escuchaban:11, escuche:11, escuchá:10, escuchará:10, escucharé:9, escuches:5, escuchara:4, escuchada:3, escuché:2, escucharán:2, escuchados:1, escuchas:1"
estos,1378,DET,
boston,1366,PROPN,
parte,1365,NOUN,
tratar,1364,VERB,"trata:420, trató:215, tratando:180, tratar:151, trataba:79, tratado:62, trato:48, tratan:38, trataron:27, trataré:23, traten:20, tratamos:16, trate:16, tratará:12, tratados:12, tratas:12, trataban:10, tratada:8, tratara:7, trates:3, trataría:3, tratasen:1, tratás:1"
dios,1364,NOUN,dios:3
ustedes,1362,PRON,ustedes:3
seguro,1347,ADJ,
contar,1341,VERB,"contar:323, cuenta:287, contó:246, contado:98, conté:50, contando:49, cuentan:48, contaré:41, contaba:37, cuente:32, contaron:24, cuentas:24, contamos:19, contara:16, cuenten:8, contaban:7, cuento:7, contén:4, contaría:3, contarán:3, contará:3, contaste:3, contase:2, contadas:2, contás:2, contemos:1, contados:1, contada:1"
comida,1335,NOUN,
entrar,1330,VERB,"entrar:532, entró:337, entra:149, entraron:63, entrado:41, entran:35, entramos:34, entrando:28, entraba:24, entraste:18, entrara:14, entre:14, entrará:12, entraban:6, entrarán:6, entren:6, entraría:5, entraremos:3, entrás:1, entraré:1, entrase:1"
ahí,1323,ADV,
tocar,1313,VERB,"tocar:475, toca:298, tocó:116, tocando:108, toco:61, tocado:54, tocaba:51, toque:41, tocan:24, tocará:17, tocara:16, toquen:14, tocaron:10, tocamos:9, tocaban:5, tocaré:4, tocase:3, tocaría:3, toqué:3, tocada:1"
feliz,1293,ADJ,
grande,1285,ADJ,
